text,author_id,conversation_id,id,created_at,public_metrics,in_reply_to_user_id
"O 1º dia do reality show registrou a maior audiência de estreia desde o Big Brother Brasil 2018.
https://t.co/BRf9dMJC3F",1164215078931062784,1484677176582676483,1484677176582676483,2022-01-21T23:59:57.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
RT @William_Castro: Entrou mais um participante na casa do Big Brother Brasil https://t.co/OBQfSvfEeT,1255174322731220992,1484677070261297156,1484677070261297156,2022-01-21T23:59:32.000Z,"{'retweet_count': 6598, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
tier list do big brother brasil 22 de acordo com o analista profissional miguel viana https://t.co/9ICoHaScZS https://t.co/K7WhS4NcV3,1350220426052562945,1484676988073922563,1484676988073922563,2022-01-21T23:59:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",
"@oxithales Canal Espiadinha - BBB 22
O maior canal do Telegram sobre Big Brother Brasil 2022! 
🔍 Demais canais: @AcervoEspiadinha

📨 Anúncios e publicidades: @espiapublis

Twitter, IG e TikTok: canalespiadinha
https://t.co/58GVcOn6Re",1376914479376662534,1484671451106062341,1484676902665261059,2022-01-21T23:58:52.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1225943064495214593
RT @William_Castro: Entrou mais um participante na casa do Big Brother Brasil https://t.co/OBQfSvfEeT,847545786674151424,1484676837057998856,1484676837057998856,2022-01-21T23:58:36.000Z,"{'retweet_count': 6598, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
"RT @carasbrasil: #CarlaDiaz e #Juliette também estão de olho no que tá rolando no #BBB22 👇
https://t.co/Gch74d73bC",140414496,1484676637002280967,1484676637002280967,2022-01-21T23:57:48.000Z,"{'retweet_count': 179, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
"@goodmorn_kanye ""Big Brother Brasil""",1308519143092752385,1484646962624401410,1484676519289139210,2022-01-21T23:57:20.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",769353764624924672
RT @William_Castro: Entrou mais um participante na casa do Big Brother Brasil https://t.co/OBQfSvfEeT,189628102,1484676455502123012,1484676455502123012,2022-01-21T23:57:05.000Z,"{'retweet_count': 6598, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
"@tracklist big brother brasil #bbb2022 Big Brother Big Day boninho  bbb 2022 bbb22
#BBB22 naiara azevedo jade picon jade picão tiago abravanel Tadeu Eliezer Eslovenia #BigBrother #BigBrotherBrasil Pedro scooby filhos #bigbrother2022 Picao Luana
https://t.co/dQKdoJEg3p",1276307691883855872,1484675952714076163,1484676280650018823,2022-01-21T23:56:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",132699857
RT @William_Castro: Entrou mais um participante na casa do Big Brother Brasil https://t.co/OBQfSvfEeT,573004604,1484675717149384706,1484675717149384706,2022-01-21T23:54:09.000Z,"{'retweet_count': 6598, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
"A 22ª edição do Big Brother Brasil (BBB22) começou nesta segunda-feira (18) mostrando que o reality deve seguir como uma das principais atrações da emissora do plim plim.
https://t.co/G0zMKZmMoh",1164215078931062784,1484675669850263553,1484675669850263553,2022-01-21T23:53:58.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
"RT @venicesqd: Big Brother Brasil, versao venice squad https://t.co/JIg2AlG7Ew",1438665300950540289,1484675486978617348,1484675486978617348,2022-01-21T23:53:14.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
"RT @LucianoArmond: Estamos no quinto dia… No quinto dia do BBB 21, este homem já tinha distribuído cobras para todos no queridômetro, e est…",960559432517214210,1484675444872036355,1484675444872036355,2022-01-21T23:53:04.000Z,"{'retweet_count': 19, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
"RT @Talitabraga__: Vazou o João Guilherme assistindo a Jade Picon 24h por dia no PPV 

#BBB22 Jade Picão / Big Brother Brasil https://t.co/…",2979698308,1484675430338682880,1484675430338682880,2022-01-21T23:53:01.000Z,"{'retweet_count': 596, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
"RT @iscacto: ""a cantora campeã do Big Brother Brasil"" 🤧 https://t.co/6dhKhD21GD",1430710829645709312,1484675415994159108,1484675415994159108,2022-01-21T23:52:57.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
"@lariissapq Canal Espiadinha - BBB 22
O maior canal do Telegram sobre Big Brother Brasil 2022! 

Twitter, IG e TikTok: canalespiadinha
https://t.co/CPLBiaFapj",363108082,1484651303112478724,1484675394334859268,2022-01-21T23:52:52.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",239157483
RT @William_Castro: Entrou mais um participante na casa do Big Brother Brasil https://t.co/OBQfSvfEeT,958121789128835072,1484675175052361728,1484675175052361728,2022-01-21T23:52:00.000Z,"{'retweet_count': 6598, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
RT @urss_so: @samuelokiin @punisherising this year at the big brother brasil the contestants are allowed to kill others to win the prize. s…,55722601,1484675133470031872,1484675133470031872,2022-01-21T23:51:50.000Z,"{'retweet_count': 1006, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
"Big Brother Brasil, versao venice squad https://t.co/JIg2AlG7Ew",1425256351840849920,1484674914909102086,1484674914909102086,2022-01-21T23:50:58.000Z,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 3, 'quote_count': 2}",
RT @William_Castro: Entrou mais um participante na casa do Big Brother Brasil https://t.co/OBQfSvfEeT,1289404628602413061,1484674833514442756,1484674833514442756,2022-01-21T23:50:38.000Z,"{'retweet_count': 6598, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
@Irracionalnew Fui dar uma olhada... Ela posta e reposta Big Brother Brasil... Tinha q ser assim....,1152280441107439617,1484590384244305921,1484674634737983490,2022-01-21T23:49:51.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1371603685260812294
"Marquei a temporada 22 de ""Big Brother Brasil"" https://t.co/NO32imhyqy como vista #bancodeseries",433783040,1484674418915827719,1484674418915827719,2022-01-21T23:49:00.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
RT @William_Castro: Entrou mais um participante na casa do Big Brother Brasil https://t.co/OBQfSvfEeT,1113269833930608644,1484674319322124296,1484674319322124296,2022-01-21T23:48:36.000Z,"{'retweet_count': 6598, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
SABRINA SATO REVELA QUE NÃO ENTRARIA DE NOVO NO BIG BROTHER BRASIL https://t.co/tYZAPy1JLZ via @YouTube,1302176055780954112,1484674173179944960,1484674173179944960,2022-01-21T23:48:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
RT @William_Castro: Entrou mais um participante na casa do Big Brother Brasil https://t.co/OBQfSvfEeT,1070387368551743494,1484673705150140418,1484673705150140418,2022-01-21T23:46:09.000Z,"{'retweet_count': 6598, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
"RT @Talitabraga__: Vazou o João Guilherme assistindo a Jade Picon 24h por dia no PPV 

#BBB22 Jade Picão / Big Brother Brasil https://t.co/…",784215509835378688,1484673693875949571,1484673693875949571,2022-01-21T23:46:07.000Z,"{'retweet_count': 596, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
"RT @Talitabraga__: Vazou o João Guilherme assistindo a Jade Picon 24h por dia no PPV 

#BBB22 Jade Picão / Big Brother Brasil https://t.co/…",1269386596186554369,1484673553756794880,1484673553756794880,2022-01-21T23:45:33.000Z,"{'retweet_count': 596, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
"RT @meizzy_: A produção abrindo a porta pq a Jade Picão não toca na maçaneta 🗣🗣🗣

KKKKKKKKKKK FOFA! 

#jadepicao avisa que é ela linn lina…",1369022181364088834,1484673529056575490,1484673529056575490,2022-01-21T23:45:27.000Z,"{'retweet_count': 901, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
RT @William_Castro: Entrou mais um participante na casa do Big Brother Brasil https://t.co/OBQfSvfEeT,1250213993194696704,1484673479542820866,1484673479542820866,2022-01-21T23:45:16.000Z,"{'retweet_count': 6598, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
RT @William_Castro: Entrou mais um participante na casa do Big Brother Brasil https://t.co/OBQfSvfEeT,831598696781447170,1484673347157901316,1484673347157901316,2022-01-21T23:44:44.000Z,"{'retweet_count': 6598, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
RT @urss_so: @samuelokiin @punisherising this year at the big brother brasil the contestants are allowed to kill others to win the prize. s…,237513767,1484673224399069188,1484673224399069188,2022-01-21T23:44:15.000Z,"{'retweet_count': 1006, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
RT @urss_so: @samuelokiin @punisherising this year at the big brother brasil the contestants are allowed to kill others to win the prize. s…,282105063,1484672966784962562,1484672966784962562,2022-01-21T23:43:13.000Z,"{'retweet_count': 1006, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
RT @William_Castro: Entrou mais um participante na casa do Big Brother Brasil https://t.co/OBQfSvfEeT,1032242249072082944,1484672863764463616,1484672863764463616,2022-01-21T23:42:49.000Z,"{'retweet_count': 6598, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
"RT @Talitabraga__: Vazou o João Guilherme assistindo a Jade Picon 24h por dia no PPV 

#BBB22 Jade Picão / Big Brother Brasil https://t.co/…",1224335756157734912,1484672663230554118,1484672663230554118,2022-01-21T23:42:01.000Z,"{'retweet_count': 596, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
Marquei como visto Big Brother Brasil - 22x5 - Dia #5 - 1ª Prova do Lider https://t.co/IiXwYDCyXt #bancodeseries,620536328,1484672615566520325,1484672615566520325,2022-01-21T23:41:50.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
RT @William_Castro: Entrou mais um participante na casa do Big Brother Brasil https://t.co/OBQfSvfEeT,743662866,1484672601377148930,1484672601377148930,2022-01-21T23:41:46.000Z,"{'retweet_count': 6598, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
